country,import_country,commodity,measure,year,unit,uk_import_qty_t,data_quality,iso3,log_uk_import_qty_t
Argentina,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,1959.0,Official figure,ARG,7.580699752224563
Argentina,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,1322.0,Official figure,ARG,7.187657164114956
Argentina,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,1182.0,Official figure,ARG,7.075808863978387
Argentina,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,314.0,Official figure,ARG,5.752572638825633
Argentina,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,58.4,Official figure,ARG,4.084294226368599
Argentina,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,23.91,Official figure,ARG,3.215269329274089
Argentina,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,22.79,Official figure,ARG,3.1692653243148663
Australia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,7.0,Official figure,AUS,2.0794415416798357
Australia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,13.0,Official figure,AUS,2.6390573296152584
Australia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,3.0,Official figure,AUS,1.3862943611198906
Austria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,17.0,Official figure,AUT,2.8903717578961645
Austria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,138.0,Official figure,AUT,4.9344739331306915
Austria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,101.0,Official figure,AUT,4.624972813284271
Austria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,16.8,Official figure,AUT,2.8791984572980396
Austria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,4.5,Official figure,AUT,1.7047480922384253
Austria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,2.8,Official figure,AUT,1.33500106673234
Austria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,0.5,Official figure,AUT,0.4054651081081644
Austria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,0.05,Official figure,AUT,0.04879016416943201
Austria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,0.05,Official figure,AUT,0.04879016416943201
Austria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,1.17,Official figure,AUT,0.7747271675523681
Belgium,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,1140.0,Official figure,BEL,7.039660349862076
Belgium,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,1089.0,Official figure,BEL,6.993932975223189
Belgium,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,649.0,Official figure,BEL,6.476972362889683
Belgium,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,972.0,Official figure,BEL,6.880384082186005
Belgium,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,1177.4,Official figure,BEL,7.071912865148421
Belgium,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,3109.9,Official figure,BEL,8.042667352375865
Belgium,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,578.2,Official figure,BEL,6.361647841071506
Belgium,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,716.61,Official figure,BEL,6.575926245987513
Belgium,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,968.44,Official figure,BEL,6.876718585196679
Belgium,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,1063.21,Official figure,BEL,6.969988018848058
Belgium,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,630.53,Official figure,BEL,6.448145446600416
Bulgaria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,2.0,Official figure,BGR,1.0986122886681098
Bulgaria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,2.0,Official figure,BGR,1.0986122886681098
Bulgaria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,3.0,Official figure,BGR,1.3862943611198906
Bulgaria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,2.0,Official figure,BGR,1.0986122886681098
Bulgaria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,12.0,Official figure,BGR,2.5649493574615367
Bulgaria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,15.5,Official figure,BGR,2.803360380906535
Bulgaria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,23.32,Official figure,BGR,3.1912990570979662
Bulgaria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,40.21,Official figure,BGR,3.718680945350726
Bulgaria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,34.44,Official figure,BGR,3.56784112573688
Bulgaria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,36.25,Official figure,BGR,3.6176519448255684
Bulgaria,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,28.96,Official figure,BGR,3.3998631586490187
Brazil,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,42473.0,Official figure,BRA,10.656647403002244
Brazil,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,33210.0,Official figure,BRA,10.410636425329677
Brazil,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,32680.0,Official figure,BRA,10.394549148260978
Brazil,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,30756.0,Official figure,BRA,10.333872889604516
Brazil,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,30324.15,Official figure,BRA,10.319732680213868
Brazil,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,24928.3,Official figure,BRA,10.123799097503255
