Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2001","2001","t","5652","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2002","2002","t","6247","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2003","2003","t","6065","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2004","2004","t","9796","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2005","2005","t","6830","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2006","2006","t","5070","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2007","2007","t","6994","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2008","2008","t","7447","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2009","2009","t","9301","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","1959","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","1322","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","1182","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","314","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","58.4","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","23.91","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","22.79","A","Official figure"
"TM","Detailed trade matrix","036","Australia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","7","A","Official figure"
"TM","Detailed trade matrix","036","Australia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","13","A","Official figure"
"TM","Detailed trade matrix","036","Australia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","3","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2003","2003","t","77","A","Official figure"
